shard_id,model_id,verification_time
0,mlp,0.0644493180443532
1,mlp,0.1305880599538795
0,mlp,0.0587728560203686
2,mlp,0.0934964239713735
0,mlp,0.0686817599926143
1,mlp,0.0602098030503839
2,mlp,0.2336748209781944
1,mlp,0.1631629359908402
3,mlp,0.128922505013179
0,mlp,0.0592069859849289
3,mlp,0.2658773260191083
2,mlp,0.2620934229926206
0,mlp,0.2099279019748792
5,mlp,0.1878555649891495
4,mlp,0.0701591540127992
1,mlp,0.0721802079933695
0,mlp,0.6942601560149342
5,mlp,0.446327585959807
9,mlp,0.4218238109606318
3,mlp,0.4516328090103343
10,mlp,0.275370693008881
11,mlp,0.2204124300042167
8,mlp,0.166548718989361
1,mlp,0.2121147540165111
6,mlp,0.1422984250239096
4,mlp,0.1458694179891608
7,mlp,0.0599722120095975
2,mlp,0.0699786139884963
0,mlp2,15.333303762992728
1,mlp2,0.2903920210083015
0,mlp2,12.681969502998982
2,mlp2,0.1276720939786173
1,mlp2,1.2258161610225216
0,mlp2,12.047522277978716
3,mlp2,0.0557160749740432
2,mlp2,0.3253250770212617
1,mlp2,4.401624051010003
0,mlp2,4.90192053798819
5,mlp2,0.055192484986037
4,mlp2,0.4252759309893008
3,mlp2,0.4226606829906814
2,mlp2,1.4987294370075688
1,mlp2,2.933005904982565
0,mlp2,4.766691344993888
6,mlp2,0.1018621389812324
0,mlp2,0.0982645880139898
10,mlp2,0.0735296259808819
8,mlp2,0.0577885770180728
11,mlp2,0.0369437530171126
4,mlp2,0.0447264790127519
2,mlp2,0.0567522570199798
9,mlp2,0.0491487100080121
7,mlp2,0.1216045820037834
5,mlp2,0.703796366986353
3,mlp2,2.674423143005697
1,mlp2,4.873311497998657
0,cnn,0.8449743070086697
0,cnn,0.6417220190051012
1,cnn,0.8183729150041472
2,cnn,0.0642077319935197
0,cnn,0.4467950949911028
1,cnn,0.4170701209950493
3,cnn,0.1468194149929331
0,cnn,0.5946638030000031
1,cnn,0.3028466709947679
2,cnn,0.8052360150031745
5,cnn,0.2685055329930037
2,cnn,0.4178836659993976
4,cnn,0.1893941419984912
0,cnn,0.4078345829911995
3,cnn,0.7861288459971547
1,cnn,0.3904553329921327
10,cnn,0.1355750130023807
4,cnn,1.2659323349944316
6,cnn,0.8298232540109893
11,cnn,0.6540310230047908
8,cnn,0.544398623998859
1,cnn,1.1627971279958729
5,cnn,0.5216984590078937
9,cnn,0.1488485890004085
2,cnn,0.375525662995642
3,cnn,0.4074594389967387
0,cnn,0.3937735030049225
7,cnn,0.3590339399961522
