setup_id,witness_id,shard_id,model_id,witness_generation_time,witness_size
mlp-1,66fb872415844c7dab3204df490a1295_0,0,mlp,0.1370649599703028,4475
mlp-2,151ad9d827044c7da5981739c247177e_0,0,mlp,0.2442161729559302,5837
mlp-2,cacefa2bf7694ed3957dc19ec43e8aff_0,1,mlp,0.0916270189918577,2191
mlp-3,c78b01e5a13e49ab8fbade43ff0b1012_0,0,mlp,0.1078521580202505,5879
mlp-3,ae3ef1600af44a66b2377b20a4258462_0,1,mlp,0.0902799940085969,3544
mlp-3,129cdde2cd804bc69fea37623b84878d_0,2,mlp,0.0872003970434889,2178
mlp-4,37fecf317f0747ebaec9f24b9581c65b_0,0,mlp,0.0916025699698366,5766
mlp-4,7f0aebb323574d6f89eade0624cba59c_0,1,mlp,0.07505470700562,3506
mlp-4,1a0b8cf5d56e4ccca0796e96759176ce_0,2,mlp,0.0700317099690437,3494
mlp-4,ecb1b1e4fbb7470a8fe91a20565c832a_0,3,mlp,0.0726393369841389,2127
mlp-6,ad34b881b77a4f1fa48d9b85e247cef7_0,0,mlp,0.0873867869959212,5915
mlp-6,c5cc22a6159a4e03a14e2429ed2dfb39_0,1,mlp,0.0704349160077981,3597
mlp-6,f4ea22afbaa546989a1a4d6f85091299_0,2,mlp,0.0999545990489423,3604
mlp-6,bbdb44cf9e7b4c7cb3188893fd460935_0,3,mlp,0.0700671070371754,3615
mlp-6,f31120f93b2f4d0fb77286838ffbe4e9_0,4,mlp,0.0643258519703522,3603
mlp-6,0e6fa289c2184955a85f12d1752dcb1d_0,5,mlp,0.0580720469588413,2171
mlp-12,a1bcb2d10f354981989475e820c83247_0,0,mlp,0.077834565017838,8005
mlp-12,f6a30c8602b94d08996b797703fd6259_0,1,mlp,0.0795044930418953,5913
mlp-12,68da0649fae3498f915fae2ecb546ec4_0,2,mlp,0.0463699799729511,3287
mlp-12,071cffeb2265412b8e11b54377a9b520_0,3,mlp,0.0660243349848315,3520
mlp-12,7f9f5ba5dc084e998df799421bda6bd5_0,4,mlp,0.049114612978883,3298
mlp-12,342ba395cf2f47a38028278bd29c87e6_0,5,mlp,0.0692225689999759,3541
mlp-12,ab0d2a635cd947eca14bf5ae9fd57bd8_0,6,mlp,0.0496972569962963,3275
mlp-12,4e55740c21124e498cdec5093186e9df_0,7,mlp,0.0587544799782335,3518
mlp-12,38a2fb7eb1374de5b8246f182497d749_0,8,mlp,0.0482291549560613,3268
mlp-12,19b70816d99b443eb9d0838b1ad43508_0,9,mlp,0.0609035789966583,3503
mlp-12,dfb033e5038243b39a16fe9a0ab030f3_0,10,mlp,0.0466869660303927,3312
mlp-12,38d9a98749de4c39925899a3b3572d63_0,11,mlp,0.0507952600019052,2128
mlp2-1,9d44c71580bb406bb2101ddc4c4e6cc9_0,0,mlp2,5.305776937995688,121001
mlp2-2,40ec4bea95cb452191bfe43c55c6a523_0,0,mlp2,5.230252656998346,136213
mlp2-2,7957356758f54778a5edca7a87b48213_0,1,mlp2,0.1541123010101728,15988
mlp2-3,3f6dfad2eb22462e8be6dccc75441c3f_0,0,mlp2,5.062975652021123,159252
mlp2-3,cafe3f77494944d78bfd6a0744436baf_0,1,mlp2,0.3960805819951929,46794
mlp2-3,73ad86b51482450c889fa09f5755d2ef_0,2,mlp2,0.092956870998023,8328
mlp2-4,12032decf8994a8f82882d5a16eb7f41_0,0,mlp2,3.7943220019806176,197377
mlp2-4,7a842a67bb9d42339089c64170cc4764_0,1,mlp2,1.513347233994864,92296
mlp2-4,5c49461c9d45494b8be82c7eadc7d696_0,2,mlp2,0.1399178100109566,23203
mlp2-4,a08fa730a6954ccea41c2f58b2b2c776_0,3,mlp2,0.0799217500025406,8014
mlp2-6,00718d5ff2f04bbabfd75fe539357dae_0,0,mlp2,3.814310148009099,199796
mlp2-6,53fa4f529b774ee98abca628505a3bb1_0,1,mlp2,1.3004587029863617,116792
mlp2-6,a11b453eede442bc9f8b8c7d9e095b83_0,2,mlp2,0.3360660869802814,54704
mlp2-6,541226dc68924cc8a03a0eea195285af_0,3,mlp2,0.2137903429975267,23770
mlp2-6,c954fb08d21343839214fddf98a6d5b5_0,4,mlp2,0.220940769999288,9731
mlp2-6,367e82a293f94a4e9b9bfe327cf33ed6_0,5,mlp2,0.1221934450150001,2186
mlp2-12,59e0c5eaee2e4b15a445a96f39ead7f4_0,0,mlp2,0.0868820729956496,241091
mlp2-12,0912a43020b54a11b4797d9fa7c759b8_0,1,mlp2,3.795792444987456,199795
mlp2-12,a410978aef7d4b56894c2927ce04bec0_0,2,mlp2,0.0652700229838956,151658
mlp2-12,658873b74f504996891b65076c34fc01_0,3,mlp2,1.2785187469853554,116545
mlp2-12,6d689c894cff49eab9029c366da615fd_0,4,mlp2,0.0534375919960439,76040
mlp2-12,316f027bad244144970730ecb9e5cb0f_0,5,mlp2,0.3089543980022426,54589
mlp2-12,3c651b8e4f374dd4b91c87dc577d1728_0,6,mlp2,0.0425123479799367,31005
mlp2-12,a30ac0c7cbc94677b72ce85ba79be19c_0,7,mlp2,0.1321428530209232,23749
mlp2-12,b285262df8204cdcbe6061d6a2d3b12f_0,8,mlp2,0.0437127679761033,15147
mlp2-12,a2041340ccf64720b6c06a71a89d7e58_0,9,mlp2,0.064940285985358,9367
mlp2-12,0db262636a8343b586169a94f277465c_0,10,mlp2,0.0368198750074952,3307
mlp2-12,2322be38cd70416d9d4ded2524db15a5_0,11,mlp2,0.040646403998835,2139
cnn-1,de6835f35718462fa24aaf2f3c6d5228_0,0,cnn,4.484457063997979,362029
cnn-2,c26974e23a644e31896292a00511e3b3_0,0,cnn,4.551264191002701,582584
cnn-2,0c4e6885d00745afbce8a421c7b39e02_0,1,cnn,0.394018970997422,219137
cnn-3,5a185e61a4f34b2b8bba5c64e53c0e8f_0,0,cnn,4.143484920990886,1263275
cnn-3,ffbe23fe34164e2ebe5118a4ac8f403e_0,1,cnn,2.4539164289890323,926176
cnn-3,4fae64e4178e484ba7220399a2e0d8e8_0,2,cnn,0.0865893040027003,23985
cnn-4,c4844235ded44901a215d6e3706c43d8_0,0,cnn,2.8916043259960134,808314
cnn-4,012ac803433749139f1b021dac023d61_0,1,cnn,1.376489258997026,663989
cnn-4,8e4529c291f74a46a94e613eaf02e10f_0,2,cnn,0.3772411300014937,239082
cnn-4,e3b1a568af294b1291005546271b32d2_0,3,cnn,0.0628556629962986,22829
cnn-6,654e5a58a2064f8494f3ad7f4b82f0e9_0,0,cnn,0.4329138809989672,2085767
cnn-6,67f4f041a7be495b8b221e8cd891b373_0,1,cnn,2.605393871999695,2654742
cnn-6,4c669400ba1e43899cdeab6d378a2c5e_0,2,cnn,1.1999117969971849,1118197
cnn-6,91ea93521f9f497da9b59772ddc4b8dd_0,3,cnn,0.3367351689958013,247297
cnn-6,300915383074495c926ebd7a753a15e1_0,4,cnn,0.063284208998084,28289
cnn-6,3f0ec57aa5714d5ab03fd4aeeaaf9e30_0,5,cnn,0.0477729880076367,5521
cnn-12,f8662ad72927411e82bfc9d3619430a4_0,0,cnn,0.4370865459932247,2218390
cnn-12,90298a7177b947e6951c6dc087825eac_0,1,cnn,0.4246290589944692,3489597
cnn-12,23eab8b435164616a1305406df19f4cb_0,2,cnn,2.735533065002528,2164963
cnn-12,ab214dd71416405c8a28bac4cbdf4b0b_0,3,cnn,0.2953346649883315,1375114
cnn-12,412c729098ad4f46979ac5ff2a5062b5_0,4,cnn,0.2711998890008544,1759180
cnn-12,467b56e25f624f45b462af3a51462d8a_0,5,cnn,1.4585356019961182,1101378
cnn-12,020ac6a8493644cd9c865eb02677885e_0,6,cnn,0.0835358149925014,446439
cnn-12,5967ae1377494464a67b6c2c9bebe25e_0,7,cnn,0.3507448349992046,247294
cnn-12,e614c6a5d28c4b55952d9be4e3bf0a4f_0,8,cnn,0.0424327549990266,44898
cnn-12,bddaabbef9784ae8bc5ea9721b60eaa4_0,9,cnn,0.0647373639949364,27281
cnn-12,8ea43776a8214ae3af186453499e8b7c_0,10,cnn,0.0385595489933621,9295
cnn-12,94abcec0c9ad4ab09d3dfbab257a7df9_0,11,cnn,0.038048013986554,5444
